no_of_adults,no_of_children,meal_plan,car_parking_space,lead_time,booking_status,booking_date,no_of_nights
2,0,Meal Plan 1,N,224,Not_Canceled,2017-10-02,3
2,0,Not Selected,N,5,Not_Canceled,2018-11-06,5
1,0,Meal Plan 1,N,1,Canceled,2018-02-28,3
2,0,Meal Plan 1,N,211,Canceled,2018-05-20,2
2,0,Meal Plan 2,N,346,Canceled,2018-09-13,2
2,0,Meal Plan 1,N,34,Not_Canceled,2017-10-15,4
2,0,Meal Plan 1,N,83,Not_Canceled,2018-12-26,4
3,0,Meal Plan 1,N,121,Not_Canceled,2018-07-06,4
2,0,Meal Plan 1,N,44,Not_Canceled,2018-10-18,5
1,0,Not Selected,N,0,Not_Canceled,2018-09-11,1
1,0,Meal Plan 1,N,35,Not_Canceled,2018-04-30,3
2,0,Meal Plan 1,N,47,Not_Canceled,2017-10-20,2
1,0,Meal Plan 1,N,0,Not_Canceled,2017-10-05,1
2,0,Not Selected,N,1,Not_Canceled,2017-08-10,4
2,0,Meal Plan 1,N,12,Not_Canceled,2017-10-04,1
1,0,Meal Plan 1,N,122,Not_Canceled,2018-11-25,1
2,0,Meal Plan 1,N,2,Not_Canceled,2018-03-20,6
2,0,Meal Plan 1,N,37,Not_Canceled,2018-10-13,3
2,0,Not Selected,N,130,Not_Canceled,2018-05-22,3
2,0,Meal Plan 1,N,99,Not_Canceled,2018-04-28,2
2,0,Meal Plan 1,N,60,Not_Canceled,2017-09-21,2
2,0,Meal Plan 2,N,56,Not_Canceled,2017-09-17,2
2,0,Meal Plan 1,N,3,Not_Canceled,2017-09-19,2
2,0,Meal Plan 1,N,107,Not_Canceled,2018-11-13,4
0,2,Meal Plan 1,N,56,Not_Canceled,2018-12-07,3
2,0,Not Selected,N,2,Not_Canceled,2018-01-09,1
2,0,Meal Plan 1,N,72,Not_Canceled,2018-10-07,2
2,0,Not Selected,Y,23,Not_Canceled,2018-04-27,1
2,0,Meal Plan 1,N,289,Not_Canceled,2017-10-17,1
2,0,Meal Plan 1,N,186,Canceled,2018-07-30,3
2,0,Meal Plan 1,N,64,Not_Canceled,2018-11-01,4
2,0,Meal Plan 1,N,35,Not_Canceled,2018-06-21,2
3,0,Meal Plan 1,N,96,Not_Canceled,2018-04-10,3
2,0,Meal Plan 1,N,55,Not_Canceled,2017-11-18,4
2,0,Meal Plan 1,N,146,Not_Canceled,2017-12-29,3
1,0,Meal Plan 1,N,32,Not_Canceled,2017-11-20,2
2,0,Meal Plan 2,N,55,Not_Canceled,2018-04-06,1
2,0,Not Selected,N,57,Not_Canceled,2018-11-01,4
1,0,Meal Plan 1,N,7,Not_Canceled,2018-12-29,4
1,0,Not Selected,N,124,Not_Canceled,2018-05-30,7
2,0,Meal Plan 2,N,169,Canceled,2018-04-22,4
1,0,Meal Plan 1,N,6,Not_Canceled,2018-05-16,3
2,0,Meal Plan 1,N,51,Not_Canceled,2017-11-11,4
2,0,Not Selected,N,13,Not_Canceled,2018-06-13,1
2,0,Meal Plan 1,N,100,Not_Canceled,2018-05-19,4
2,0,Not Selected,N,139,Not_Canceled,2018-07-28,1
2,0,Meal Plan 1,N,117,Not_Canceled,2018-12-26,3
